All races,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 1+ years,96,505,173,50,471,237,204,394,309,108,189,358
,,,,,,,,,,,,
1 to 4 years,10,28,1,6,34,22,25,38,22,9,24,31
5 to 9 years,11,35,7,1,57,10,14,43,25,8,13,22
10 to 14 years,4,35,13,-,37,9,13,21,26,6,5,24
15 to 19 years,6,27,11,-,26,18,9,20,19,3,8,29
20 to 24 years,15,55,45,11,54,40,32,38,51,11,19,64
25 to 29 years,9,66,20,18,61,20,8,46,51,20,36,31
30 to 44 years,32,124,56,7,116,57,63,76,54,32,45,71
45 to 64 years,8,101,18,6,60,41,33,72,52,12,34,48
65 to 74 years,1,27,2,-,20,15,5,17,7,5,3,22
75+ years,-,7,-,-,5,5,1,23,1,3,3,16
,,,,,,,,,,,,
Male,56,271,79,21,213,119,93,203,179,46,97,178
Female,40,234,93,29,258,118,111,191,130,63,92,181
,,,,,,,,,,,,
"Householder, spouse present",19,93,20,11,70,40,24,75,42,18,33,53
Other family householder,-,35,3,4,26,9,19,25,7,8,12,23
Nonfamily householder,15,75,45,6,83,29,37,47,46,16,30,51
Spouse,19,94,26,10,74,42,24,78,45,18,33,50
Child of householder,35,137,34,10,109,62,66,127,86,27,46,117
Other relative,2,22,8,2,44,16,12,17,24,3,15,33
Nonrelative,7,49,37,6,65,38,21,26,60,19,20,30
,,,,,,,,,,,,
"Married, spouse present",38,192,46,22,144,83,49,154,87,37,69,107
"Married, spouse absent",1,14,3,-,1,6,6,5,8,-,3,2
Widowed,-,9,4,-,14,11,2,15,3,7,1,16
Divorced,5,29,25,8,46,12,27,34,45,10,24,31
Separated,-,23,3,-,16,4,6,10,2,1,5,10
Never married,28,140,71,13,122,80,61,73,91,31,45,115
NIU (ages 1-14 years),24,99,22,7,128,41,52,102,73,23,42,78
,,,,,,,,,,,,
"Grades 9-12, no diploma",1,29,3,-,46,12,2,19,23,2,6,36
High school graduate,8,126,17,11,82,18,28,85,33,18,46,50
Some college or AA degree,14,83,31,8,62,31,24,51,55,7,25,55
Bachelor's degree,10,50,30,4,43,40,32,53,40,28,29,34
Prof. or graduate degree,16,36,15,9,29,38,24,26,15,18,14,12
NIU (ages 1-24 years),45,181,77,18,209,99,93,160,143,37,69,171
,,,,,,,,,,,,
In an owner-occupied unit,45,218,52,11,178,120,92,221,86,41,107,157
In a renter-occupied unit,51,287,121,39,294,117,112,173,223,68,82,202
