All Races,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 1+ years,84,487,94,81,401,272,235,304,351,129,142,394
,,,,,,,,,,,,
1 to 4 years,8,25,2,10,17,16,12,28,36,6,10,25
5 to 9 years,7,28,4,4,28,14,15,26,44,8,7,40
10 to 14 years,4,44,4,-,35,25,24,25,22,16,5,27
15 to 19 years,1,36,11,1,25,16,12,15,28,6,7,21
20 to 24 years,8,73,27,5,41,41,32,44,36,24,21,65
25 to 29 years,17,66,16,20,33,34,28,45,53,13,19,67
30 to 44 years,17,123,19,23,73,65,62,52,90,37,28,102
45 to 64 years,20,74,10,17,117,48,37,40,33,19,31,38
65 to 74 years,-,9,1,-,18,7,7,9,7,-,3,7
75+ years,-,8,-,-,13,7,5,20,1,-,11,2
,,,,,,,,,,,,
Male,42,241,55,47,216,151,106,143,176,55,61,185
Female,42,245,40,34,186,121,129,161,175,74,81,209
,,,,,,,,,,,,
"Householder, spouse present",23,78,16,8,80,46,40,51,66,18,21,69
Other family householder,4,30,4,4,13,12,9,13,17,9,10,24
Non family householder,12,66,15,15,62,51,31,40,32,23,23,49
Spouse,21,81,11,11,82,48,47,52,66,17,29,66
Child of householder,22,133,10,13,98,71,62,92,131,46,38,110
Other relative,-,43,12,15,37,10,27,32,25,4,13,16
Non-relative,2,56,25,16,30,33,18,25,15,11,10,59
,,,,,,,,,,,,
"Married, spouse present",44,172,32,24,166,97,95,110,132,36,52,138
"Married, spouse absent",1,6,1,-,3,5,1,4,2,-,2,6
Widowed,-,11,1,3,17,12,7,12,3,-,9,7
Divorced,-,30,3,7,26,18,14,21,15,18,11,45
Separated,2,11,-,-,4,2,5,16,8,3,4,2
Never Married,16,160,48,32,105,84,62,63,89,42,42,103
NIU (under 15 years),19,97,10,15,80,54,51,79,102,30,22,92
,,,,,,,,,,,,
"Grades 9-12, no diploma",-,24,3,11,45,16,9,32,23,5,21,22
High school graduate,13,79,5,11,53,35,29,59,40,15,21,34
Some college or AA degree,11,61,10,7,64,35,31,33,38,27,30,69
Bachelor's degree,20,75,22,17,59,45,30,23,64,12,13,64
Prof. or graduate degree,11,42,7,15,34,29,40,20,20,10,8,28
Under 25 years old,29,206,48,21,146,111,95,138,166,60,50,178
,,,,,,,,,,,,
In an Owner-Occupied Unit,60,198,36,27,189,93,101,150,107,38,61,101
In a Renter-Occupied Unit,23,289,58,55,212,179,133,154,243,91,82,293
