All Races,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 1+ years,108,432,100,87,403,180,271,253,220,68,197,327
,,,,,,,,,,,,
1 to 4 years,13,31,10,6,29,7,11,18,23,2,31,21
5 to 9 years,7,44,6,4,18,10,12,10,14,1,12,20
10 to 14 years,10,27,3,8,29,7,21,12,15,1,9,20
15 to 19 years,6,37,5,2,20,6,36,17,21,-,9,29
20 to 24 years,15,52,10,15,73,40,25,34,38,11,26,24
25 to 29 years,6,43,7,8,47,37,27,40,27,14,23,54
30 to 44 years,31,85,36,25,107,31,72,58,46,24,70,90
45 to 64 years,20,93,15,16,57,31,44,48,30,9,11,54
65 to 74 years,-,14,7,1,10,3,9,7,-,-,7,8
75+ years,-,7,2,-,14,8,13,9,6,7,-,8
,,,,,,,,,,,,
Male,63,187,48,40,189,96,132,112,115,33,93,163
Female,45,245,51,46,215,84,138,141,106,36,104,164
,,,,,,,,,,,,
"Householder, spouse present",23,77,26,19,73,36,41,41,30,13,35,65
Other family householder,5,25,2,2,12,1,8,4,17,1,7,15
Non family householder,14,74,16,13,69,41,46,51,37,15,30,40
Spouse,20,75,25,19,73,35,41,47,29,16,31,65
Child of householder,31,128,24,13,102,26,91,62,58,8,63,97
Other relative,4,29,2,10,18,11,10,20,28,1,11,17
Non-relative,12,24,5,10,56,31,34,28,21,14,20,30
,,,,,,,,,,,,
"Married, spouse present",44,152,51,38,146,72,88,91,62,28,66,136
"Married, spouse absent",8,9,1,-,7,2,6,7,2,-,3,2
Widowed,2,7,2,-,10,7,4,11,7,-,3,13
Divorced,2,35,4,8,18,7,33,17,26,-,17,34
Separated,1,9,-,2,13,1,-,11,2,5,3,1
Never Married,22,118,23,20,134,66,97,76,69,31,53,80
NIU (under 15 years old),30,102,19,18,76,24,43,40,52,4,52,61
,,,,,,,,,,,,
"Grades 9-12, no diploma",6,36,3,-,21,5,14,21,10,-,10,10
High school graduate,11,71,9,12,64,25,42,45,14,7,26,43
Some college or AA degree,13,57,20,10,65,23,42,42,38,16,16,59
Bachelor's degree,11,53,20,13,49,36,37,40,29,20,40,55
Prof. or graduate degree,17,24,16,16,37,20,30,15,19,10,18,48
NIU (under 25 years old),51,191,33,35,168,71,105,91,111,15,87,113
,,,,,,,,,,,,
In an Owner-Occupied Unit,47,159,45,31,164,48,150,111,58,22,92,172
In a Renter-Occupied Unit,61,274,55,55,239,132,120,142,162,46,105,156
