All Races,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 1+ years,71,319,93,62,378,235,198,303,390,125,200,319
,,,,,,,,,,,,
1 to 4 years,6,14,11,3,26,10,14,19,29,18,19,31
5 to 9 years,2,13,4,6,21,18,17,21,30,4,18,34
10 to 14 years,5,30,1,2,23,13,17,17,22,5,14,22
15 to 19 years,1,24,2,2,36,12,18,19,44,2,18,20
20 to 24 years,18,30,21,13,40,47,26,43,69,17,18,43
25 to 29 years,12,20,8,11,55,33,19,26,47,28,28,51
30 to 44 years,22,90,28,15,96,69,58,81,66,42,43,73
45 to 64 years,3,60,14,10,71,21,18,55,74,8,30,31
65 to 74 years,2,32,2,-,7,9,4,12,1,-,4,14
75+ years,-,6,3,-,2,2,8,10,10,-,9,-
,,,,,,,,,,,,
Male,34,146,48,28,194,129,93,175,199,64,108,152
Female,38,173,46,34,184,106,105,128,191,60,92,168
,,,,,,,,,,,,
"Householder, spouse present",9,68,20,11,63,44,30,52,65,20,30,49
Other family householder,1,13,5,2,27,8,11,15,24,8,12,20
Non family householder,19,39,16,13,54,44,37,39,60,21,29,34
Spouse,11,69,20,11,59,45,26,57,67,19,28,60
Child of householder,13,83,17,13,106,53,63,63,117,35,61,99
Other relative,9,23,11,2,32,8,20,33,27,3,21,25
Non-relative,8,25,6,11,36,34,11,44,32,18,19,32
,,,,,,,,,,,,
"Married, spouse present",20,145,39,21,131,89,61,116,133,39,65,113
"Married, spouse absent",-,10,-,-,21,7,2,22,23,4,4,5
Widowed,2,10,4,-,9,11,6,12,15,2,4,7
Divorced,1,14,4,6,31,11,9,18,20,11,17,25
Separated,-,8,2,-,3,-,2,11,7,2,5,3
Never Married,35,75,28,23,112,75,71,68,112,39,54,81
NIU (under 15 years),14,58,16,12,70,41,48,57,81,28,50,87
,,,,,,,,,,,,
"Grades 9-12, no diploma",5,24,5,1,23,9,4,17,23,9,23,17
High school graduate,1,63,15,5,65,22,22,53,50,18,25,35
Some college or AA degree,9,60,11,9,64,50,23,49,56,13,28,50
Bachelor's degree,11,39,11,8,49,29,31,37,46,34,19,43
Prof. or graduate degree,13,21,12,12,29,24,26,26,23,4,18,25
Under 25 years old,32,112,39,26,146,101,92,120,193,46,87,150
,,,,,,,,,,,,
In an Owner-Occupied Unit,13,173,28,30,122,71,91,117,134,41,81,89
In a Renter-Occupied Unit,59,146,65,32,256,164,107,186,257,84,119,230
