All Races,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 1+ years,60,280,100,78,339,226,256,315,324,134,210,315
,,,,,,,,,,,,
1 to 4 years,5,10,3,1,37,20,17,27,24,11,23,43
5 to 9 years,3,13,9,4,25,18,19,28,25,16,18,24
10 to 14 years,2,13,9,6,13,15,16,18,18,12,8,26
15 to 19 years,7,29,4,6,16,11,12,10,34,4,10,7
20 to 24 years,14,35,4,23,57,33,34,43,49,19,25,44
25 to 29 years,6,26,15,4,46,30,34,60,33,22,26,41
30 to 44 years,21,66,40,23,59,51,68,61,73,36,65,92
45 to 64 years,2,72,12,7,57,41,36,38,58,11,27,34
65 to 74 years,-,14,4,2,16,7,10,15,2,3,3,4
75+ years,-,2,2,2,12,1,9,14,8,-,5,-
,,,,,,,,,,,,
Male,26,148,56,41,149,121,119,162,187,76,114,156
Female,34,131,44,37,190,105,137,154,137,58,97,159
,,,,,,,,,,,,
"Householder, spouse present",12,52,15,12,65,46,42,63,63,19,34,61
Other family householder,1,16,5,-,13,9,11,14,8,7,7,8
Non family householder,13,53,22,21,54,32,47,38,49,18,39,38
Spouse,9,62,15,13,61,44,49,63,67,20,39,67
Child of householder,14,61,21,20,98,55,63,79,92,53,67,104
Other relative,4,14,2,8,15,15,17,33,16,4,15,8
Non-relative,7,21,19,3,32,24,27,25,27,12,11,28
,,,,,,,,,,,,
"Married, spouse present",21,116,31,26,132,99,100,135,133,38,73,133
"Married, spouse absent",-,4,-,-,5,4,6,9,12,-,4,8
Widowed,-,6,3,-,6,5,3,20,3,3,4,4
Divorced,4,20,4,8,23,18,22,16,20,1,13,12
Separated,5,6,-,-,3,1,5,4,7,5,9,4
Never Married,20,92,41,34,95,47,68,60,82,47,57,62
NIU (under 15 years),9,37,20,11,75,53,52,73,67,39,50,93
,,,,,,,,,,,,
"Grades 9-12, no diploma",5,25,7,-,23,12,7,20,19,2,15,23
High school graduate,5,54,13,4,43,29,50,57,30,29,30,35
Some college or AA degree,8,38,20,12,56,30,36,53,54,11,32,46
Bachelor's degree,4,45,28,12,41,32,39,44,38,14,29,48
Prof. or graduate degree,8,16,5,9,27,25,25,16,34,16,19,18
Under 25 years old,31,101,28,40,148,96,99,127,150,61,86,144
,,,,,,,,,,,,
In an Owner-Occupied Unit,30,126,53,41,147,93,115,164,85,30,87,96
In a Renter-Occupied Unit,30,154,48,37,192,133,142,151,238,104,123,219
