CITY NAME,2010,2011,2012,2013,2014,2015, long, lat
"Boulder city, Colorado",98606,100914,102058,103722,105516,107349,-111.8412502, 33.3061605
"Bowie city, Maryland",55090,55710,56243,56873,57592,58025,-74.0776417, 40.72815749999999
"Bowling Green city, Kentucky",59098,59590,60503,61786,62549,63616,-93.0899578, 44.9537029
"Boynton Beach city, Florida",68368,68943,70196,71261,73163,73966,-121.2907796, 37.9577016
"Bradenton city, Florida",49346,49729,50430,51526,52770,54437,-118.2436849, 34.0522342
"Brentwood city, California",51829,52776,53601,55055,57031,58968,-84.3879824, 33.7489954
"Bridgeport city, Connecticut",144911,146244,147013,147844,147871,147629,-117.7946942, 33.6839473
"Bristol city, Connecticut",60487,60583,60598,60552,60528,60452,-78.898619, 35.9940329
"Brockton city, Massachusetts",93846,94115,94009,94368,94800,95314,-99.48032409999999, 27.5305671
"Broken Arrow city, Oklahoma",99259,100123,102113,103543,104817,106563,-76.28587259999999, 36.8507689
"Brookhaven city, Georgia",49330,49685,50345,50848,51298,51910,-80.2781057, 25.8575963
"Brooklyn Park city, Minnesota",75974,76895,77755,78409,78729,79149,-85.1393513, 41.079273
"Broomfield city, Colorado",56271,57445,58949,60163,61875,65065,-121.9885719, 37.5482697
"Brownsville city, Texas",175642,178525,180256,181648,183081,183887,-84.9877094, 32.4609764
"Bryan city, Texas",76526,77199,77870,79055,80833,82118,-91.1403196, 30.4582829
"Buckeye town, Arizona",51319,52492,54668,56980,59569,62138,-77.4360481, 37.5407246
"Buena Park city, California",80827,81701,82313,83090,83074,83270,-82.6267345, 27.7518284
"Buffalo city, New York",261220,260541,259947,259753,259259,258071,-84.28073289999999, 30.4382559
"Burbank city, California",103336,103901,104407,104870,105094,105319,-119.8138027, 39.5296329
"Burien city, Washington",48197,48774,49499,49952,50254,50467,-76.2874927, 36.7682088
"Burlington city, North Carolina",51058,51153,51340,51606,51922,52472,-117.2296717, 33.9424658
"Burnsville city, Minnesota",60412,60644,61105,61435,61580,61481,-111.789027, 33.3528264
"Caldwell city, Idaho",46501,47234,47672,48967,50176,51686,-88.32007150000001, 41.7605849
"Camarillo city, California",65339,65666,65880,66166,66881,67608,-86.2999689, 32.3668052
"Cambridge city, Massachusetts",104979,105743,106048,107705,109700,110402,-118.542586, 34.3916641
"Camden city, New Jersey",77310,77594,77367,77023,76504,76119,-80.3582261, 27.2730492
"Canton city, Ohio",73064,72765,72758,72522,72280,71885,-112.1859866, 33.5386523
"Cape Coral city, Florida",154795,157664,161194,165294,169755,175229,-120.9968782, 37.63909719999999
"Carlsbad city, California",105844,107768,109402,111242,112305,113453,-93.6091064, 41.6005448
"Carmel city, Indiana",79777,81668,83651,86005,86866,88713,-78.8783689, 42.88644679999999
"Carrollton city, Texas",119475,122509,125512,126693,128515,133168,-111.9260519, 33.4941704
"Carson city, California",91641,91886,92487,92782,93078,93281,-97.4974838, 25.9017472
"Carson City, Nevada",55030,54756,54598,54057,54480,54521,-96.9488945, 32.8140177
"Cary town, North Carolina",136688,141928,145912,151201,155406,159769,-117.4260466, 47.6587802
"Casa Grande city, Arizona",48876,48768,49103,49342,50387,51460,-92.28959479999999, 34.7464809
"Casper city, Wyoming",55282,56176,57904,59697,60054,60285,-96.99778459999999, 32.7459645
"Castle Rock town, Colorado",48592,49438,50439,51667,53598,55591,-81.51900529999999, 41.0814447
"Cathedral City city, California",51439,52126,52596,53030,53436,53826,-101.8551665, 33.5778631
"Cedar Park city, Texas",52397,55359,57980,61288,63627,65945,-117.9992265, 33.660297
"Cedar Rapids city, Iowa",126597,127870,128129,128413,129304,130405,-85.6680863, 42.9633599
"Centennial city, Colorado",101455,103049,104779,107256,108187,109741,-93.7501789, 32.5251516
"Champaign city, Illinois",81385,82148,83020,83909,84805,86096,-94.6707917, 38.9822282
"Chandler city, Arizona",236794,240093,244961,250519,254469,260828,-80.244216, 36.09985959999999
"Chapel Hill town, North Carolina",57445,57411,58702,58959,59240,59568,-85.3096801, 35.0456297
"Charleston city, South Carolina",120589,123036,125413,127560,129829,132609,-122.4442906, 47.2528768
"Charleston city, West Virginia",51304,51019,50970,50823,50326,49736,-83.9207392, 35.9606384
"Charlotte city, North Carolina",738678,756102,774707,793480,809402,827097,-111.9400054, 33.4255104
"Chattanooga city, Tennessee",170655,172075,173872,175123,174943,176588,-111.8910474, 40.7607793
"Chesapeake city, Virginia",223520,225352,228231,230515,233479,235429,-86.80248999999999, 33.5206608
"Cheyenne city, Wyoming",59901,60383,61767,62568,62860,63335,-71.8022934, 42.2625932
"Chicago city, Illinois",2697650,2705909,2715521,2722236,2723436,2720546,-82.0105148, 33.4734978
"Chico city, California",86395,86891,87657,88179,89314,90316,-96.63888329999999, 32.912624
"Chicopee city, Massachusetts",55303,55633,55910,56079,56545,56741,-89.4012302, 43.0730517
"Chino city, California",78573,79606,80060,81022,84645,85595,-116.2146068, 43.6187102
"Chino Hills city, California",74997,75770,76270,76619,76924,78309,-117.9414477, 33.7739053
"Chula Vista city, California",244730,248716,253115,257708,261189,265757,-119.1770516, 34.1975048
"Cicero town, Illinois",84282,84405,84516,84576,84388,83886,-117.2897652, 34.1083449
"Cincinnati city, Ohio",296906,296109,296788,297409,298041,298550,-73.89874689999999, 40.9312099
"Citrus Heights city, California",83380,83958,84592,85286,86118,87056,-115.1175013, 36.1988592
"Clarksville city, Tennessee",133595,136375,143190,142700,146678,149176,-117.435048, 34.0922335
"Clearwater city, Florida",108614,108715,109211,110092,111067,113003,-86.5861037, 34.7303688
"Cleveland city, Ohio",396010,392497,391376,391142,389860,388072,-101.8312969, 35.2219971
"Clifton city, New Jersey",84226,84877,85058,85541,86086,86334,-88.0398912, 30.6953657
"Clovis city, California",96156,97447,98598,99756,102133,104180,-118.255075, 34.1425078
"Coconut Creek city, Florida",53082,54197,55085,56935,58549,59302,-77.6109219, 43.16103
"College Station city, Texas",94525,95633,97767,100694,103636,107889,-90.1848103, 32.2987573
"Colorado Springs city, Colorado",420644,428031,434576,442102,448961,456568,-78.87835849999999, 35.0526641
"Colton city, California",52289,52803,53105,53335,53997,54621,-96.6397822, 33.1972465
"Columbia city, Missouri",109436,111382,113568,115637,117299,119108,-81.9495331, 26.5628537
"Columbia city, South Carolina",130430,131284,131912,131905,132365,133803,-71.4128343, 41.8239891
"Columbus city, Georgia",191124,195357,200195,204207,201087,200579,-117.5931084, 34.10639889999999
"Columbus city, Ohio",790694,799663,811251,824582,837931,850106,-87.3594528, 36.5297706
"Commerce City city, Colorado",46180,47563,48593,49960,51831,53696,-118.1164613, 34.5794343
"Compton city, California",96491,97150,97715,98134,98321,98462,-117.086421, 33.1192068
"Concord city, California",122659,123763,124985,126283,127556,128667,-97.72779589999999, 31.1171194
"Concord city, North Carolina",79448,80641,82147,83521,85525,87696,-122.7140548, 38.440429
"Conroe city, Texas",57341,59104,61409,62560,65909,68602,-121.3716178, 38.4087993
"Conway city, Arkansas",59655,61673,62926,63618,64585,64980,-122.6614861, 45.6387281
"Coon Rapids city, Minnesota",61544,61498,61857,61989,62095,62240,-123.0867536, 44.0520691
"Coral Gables city, Florida",47024,48274,49703,50417,50895,51117,-123.0350963, 44.9428975
"Coral Springs city, Florida",121434,123699,125497,126802,127985,129485,-87.84479379999999, 42.3636331
"Corona city, California",153162,154989,157903,159441,161289,164226,-86.1180435, 39.978371
"Corpus Christi city, Texas",305382,308124,312469,317157,320751,324074,-96.5991593, 32.76679550000001
"Corvallis city, Oregon",54402,54603,55032,54672,54853,55780,-89.0939952, 42.2711311
"Costa Mesa city, California",110195,111191,111961,112531,112840,113204,-122.2566367, 38.1040864
"Council Bluffs city, Iowa",62376,62482,62123,62076,62317,62597,-94.6274636, 39.114053
"Cranston city, Rhode Island",80437,80470,80617,80645,80975,81073,-105.0813734, 39.7047095
"Cupertino city, California",58729,59257,59896,60360,60739,60572,-118.1541632, 34.6867846
"Dallas city, Texas",1200699,1219300,1243131,1260432,1280450,1300092,-117.9242966, 33.8703596
"Daly City city, California",101334,102646,104147,105211,106069,106562,-73.19517669999999, 41.1865478
"Danbury city, Connecticut",81349,82186,82810,83772,83891,84657,-93.29229889999999, 37.2089572
"Davenport city, Iowa",99946,100540,101445,102216,102474,102582,-80.1494901, 26.0112014
"Davie town, Florida",92302,94242,95588,97365,98918,100882,-72.589811, 42.1014831
"Davis city, California",65600,65761,65946,66423,66807,67666,-76.14742439999999, 43.0481221
"Dayton city, Ohio",142308,141880,141789,141790,140834,140599,-117.8531119, 33.7877944
"Daytona Beach city, Florida",61075,61207,61804,62657,63318,64736,-77.0469214, 38.8048355
"Dearborn city, Michigan",97843,97050,96675,95801,95638,95171,-95.2091006, 29.6910625
